"","BasinPairs","Country","Axis","Correlation","BasinID1","BasinID2","Euclid_Dist_Meters","MeanLat","MeanLon","MaxDist","Similarity"
"1","X2080020330.2080016510","FRA","Axis1",-0.311419308590399,2080020330,2080016510,497767.773229306,44.2891310646045,2.40150360624407,836083.339601399,0.404643353536245
"2","X2080020590.2080016510","FRA","Axis1",0.704542655167352,2080020590,2080016510,245484.351388151,44.6445202481013,3.92633962275077,836083.339601399,0.706387701128951
"3","X2080021030.2080016510","FRA","Axis1",-0.03940557469705,2080021030,2080016510,305428.707008138,45.9297174967243,3.50104031435077,836083.339601399,0.63469107379445
"4","X2080022150.2080016510","FRA","Axis1",0.760618891862382,2080022150,2080016510,419237.388625557,47.0081571103029,4.20216297800343,836083.339601399,0.49856985689318
"5","X2080023010.2080016510","FRA","Axis1",0.0794435433418903,2080023010,2080016510,370124.691376426,46.6010798250359,6.63733490769112,836083.339601399,0.557311246564389
"6","X2080020590.2080020330","FRA","Axis1",-0.261332731082697,2080020590,2080020330,258267.666673521,43.6790209466365,1.11162044096177,836083.339601399,0.691098178326758
"7","X2080021030.2080020330","FRA","Axis1",0.119815672176279,2080021030,2080020330,403768.86599039,44.9642181952594,0.686321132561775,836083.339601399,0.517071030044821
"8","X2080022150.2080020330","FRA","Axis1",0.00249704455338711,2080022150,2080020330,665436.247566832,46.0426578088381,1.38744379621442,836083.339601399,0.204102969108226
"9","X2080023010.2080020330","FRA","Axis1",-0.712555675275234,2080023010,2080020330,836083.339601399,45.635580523571,3.82261572590212,836083.339601399,0
"10","X2080021030.2080020590","FRA","Axis1",-0.380545793819692,2080021030,2080020590,293345.217097177,45.3196073787562,2.21115714906848,836083.339601399,0.649143568346872
"11","X2080022150.2080020590","FRA","Axis1",0.757142968754635,2080022150,2080020590,527184.970968669,46.3980469923348,2.91227981272113,836083.339601399,0.36945882545632
"12","X2080023010.2080020590","FRA","Axis1",-0.266710144717644,2080023010,2080020590,604386.845314164,45.9909697070677,5.34745174240883,836083.339601399,0.277121290800623
"13","X2080022150.2080021030","FRA","Axis1",-0.308961280324025,2080022150,2080021030,261891.484819476,47.6832442409578,2.48698050432113,836083.339601399,0.686763899703668
"14","X2080023010.2080021030","FRA","Axis1",-0.148505745172705,2080023010,2080021030,497358.378431338,47.2761669556908,4.92215243400883,836083.339601399,0.405133011419111
"15","X2080023010.2080022150","FRA","Axis1",-0.212545632459999,2080023010,2080022150,372060.503274288,48.3546065692694,5.62327509766148,836083.339601399,0.554995912905444
"16","X2080020330.2080016510.1","FRA","Axis2",-0.165782862877803,2080020330,2080016510,497767.773229306,44.2891310646045,2.40150360624407,836083.339601399,0.404643353536245
